instruction,output
"For an AI course student, what is what is context length and why does it matter? Be concise.","Context length (or context window) is the maximum number of tokens the model can attend to at once. Longer context enables processing entire documents, multi-turn conversations, and few-shot prompting with many examples. LLaMA-3 supports 128K tokens. Long context requires flash attention and positional encoding that generalizes (e.g., RoPE with YaRN)."
"In simple terms, what is what is flash attention? Be concise and precise.","FlashAttention (Dao et al., 2022) is an IO-aware exact attention algorithm that tiles Q, K, V to avoid materializing the full N by N attention matrix in HBM. Reduces memory from O(N^2) to O(N) and is 2-4x faster due to reduced memory bandwidth. FlashAttention-2 further optimizes parallelism."
What is self-consistency prompting? Explain with clear definitions.,"Self-consistency (Wang et al., 2022) samples multiple diverse CoT reasoning paths for the same question and takes a majority vote on the final answer. Accuracy improves with more samples. It exploits the fact that correct reasoning paths tend to converge on the correct answer while incorrect paths diverge."
"As an AI student, explain explain the RAG pipeline step by step. Give examples where relevant.","1. Ingestion: load and clean documents. 2. Chunking: split into overlapping chunks (e.g., 512 tokens, 50 overlap). 3. Embedding: encode chunks with a sentence-transformer model. 4. Storage: index in ChromaDB or FAISS. 5. Retrieval: embed the query, find top-k similar chunks via ANN. 6. Augmentation: inject retrieved chunks into the LLM prompt. 7. Generation: LLM produces a grounded answer."
"For a university exam, explain what is gradient checkpointing? Give examples where relevant.","Gradient checkpointing reduces activation memory by not storing all intermediate activations during the forward pass. During backprop, discarded activations are recomputed on the fly. Trades about 30% extra compute for a large reduction in memory, enabling larger batch sizes or longer sequences."
I need help understanding what is the attention mechanism in neural networks? Explain with definitions.,"Attention allows a model to weight different parts of the input differently when producing each output element. It computes a context vector as a weighted sum of value vectors, where weights are derived from the similarity between a query and key vectors. Attention removes the bottleneck of fixed-size encodings in seq2seq models."
Can you explain what is a GAN? Give examples where relevant.,"A GAN (Goodfellow et al., 2014) consists of a Generator G(z) that maps noise z to data-like samples, and a Discriminator D(x) that classifies real vs fake. G is trained to fool D; D is trained to distinguish them. At equilibrium, G produces samples indistinguishable from real data."
"As an AI student, explain what are chunking strategies for RAG? Give examples where relevant.","Strategies: (1) Fixed-size with overlap (e.g., 512 tokens, 50-token overlap) — simple but may split sentences; (2) Recursive character splitting — splits at paragraphs, then sentences, then words; (3) Semantic chunking — splits when embedding similarity drops; (4) Document-structure-aware — splits at headers/sections. Overlap prevents context loss at chunk boundaries."
Give a technical explanation of what topics are covered in the Generative AI and LLMs course?,"Topics: Generative models (VAE, GAN, Diffusion), Transformer architecture, LLM pretraining, Prompt engineering, Fine-tuning methods (LoRA, QLoRA, RLHF, DPO), RAG systems, Vector databases, Evaluation metrics, and practical deployment on Colab."
Briefly describe what is the AdamW optimizer? Include relevant equations or pseudocode if helpful.,"AdamW (Loshchilov & Hutter, 2019) decouples weight decay from the adaptive gradient update. Standard Adam applies weight decay through the gradient (L2 regularization), conflating it with adaptive scaling. AdamW applies weight decay directly to weights, making regularization more effective. Standard choice for LLM training."
What is meant by what are the main families of generative models? Explain technically.,"The four main families are: (1) GANs — adversarial generator-discriminator training; (2) VAEs — encoder-decoder with a probabilistic latent space; (3) Diffusion models — iterative denoising from Gaussian noise; (4) Autoregressive models — predict the next token given previous tokens (e.g., GPT)."
Please explain what is ReAct prompting? Include relevant equations or pseudocode if helpful.,"ReAct (Yao et al., 2022) interleaves Thought (reasoning step), Action (tool call: search or calculator), and Observation (tool result) cycles. The LLM decides what to do, calls a tool, observes the result, and iterates. Grounding reasoning in tool outputs reduces hallucinations. ReAct is the foundation of LLM agent loops."
"In simple terms, what is what is the difference between autoregressive and diffusion generation? Give examples where relevant.","Autoregressive models (GPT) generate token by token left to right — exact likelihood but sequential and slow for long sequences. Diffusion models denoise from Gaussian noise in T steps — parallel denoising for images, better quality but typically requires many steps. Diffusion-based text generation (e.g., MDLM) is an active research area."
"For an AI course student, what is what is the softmax function?","Softmax converts a vector of real numbers into a probability distribution: softmax(z_i) = exp(z_i) / sum_j(exp(z_j)). It ensures all outputs are positive and sum to 1. Used in classification heads, attention score normalization, and the final token prediction layer of LLMs."
Please explain what is instruction tuning? Provide a detailed answer.,"Instruction tuning fine-tunes LLMs on diverse (instruction, output) pairs covering many tasks. Models learn to follow natural language instructions zero-shot. FLAN, Alpaca, Vicuna, and OpenHermes are examples. Instruction tuning drastically improves zero-shot generalization across unseen tasks."
Briefly describe what are the assessment components of the course? Include relevant equations or pseudocode if helpful.,"Assessment breakdown: Assignment 1 (RAG System) 30%, Assignment 2 (Fine-Tuning) 30%, Viva 10%, Mid-semester exam 15%, End-semester exam 15%. Total 100%."
What is meant by what is a vector database?,"A vector database stores embeddings and supports approximate nearest-neighbor search. Options: ChromaDB (easy Python API, local persistence), FAISS (C++ optimized, billion-scale, IVF/HNSW), Pinecone (managed cloud), Qdrant (Rust, production-grade with payload filters), Weaviate (GraphQL interface)."
What is flash attention? Be concise and precise.,"FlashAttention (Dao et al., 2022) is an IO-aware exact attention algorithm that tiles Q, K, V to avoid materializing the full N by N attention matrix in HBM. Reduces memory from O(N^2) to O(N) and is 2-4x faster due to reduced memory bandwidth. FlashAttention-2 further optimizes parallelism."
Give a technical explanation of what is RAG?,"RAG (Retrieval-Augmented Generation, Lewis et al., 2020) enhances generation by retrieving relevant documents at inference time. Pipeline: offline — chunk documents, embed chunks, store in vector DB; online — embed query, retrieve top-k similar chunks by ANN search, inject into prompt, LLM generates a grounded answer. Reduces hallucinations without retraining."
Please explain what is a diffusion model?,"Diffusion models (DDPM, Ho et al., 2020) define a forward process that adds Gaussian noise over T steps until x_T is approximately N(0,I), then train a neural network to reverse the process by predicting the noise at each step. Sampling involves iterative denoising. DDIM enables faster sampling."
I need help understanding what is prompt tuning? Give examples.,"Prompt tuning (Lester et al., 2021) prepends a small number of trainable token embeddings to the input at the embedding layer. The rest of the model is frozen. Simpler than prefix tuning. Performance approaches full fine-tuning at large model scales (10B+ parameters)."
What is the forward and reverse process in diffusion models?,"Forward: q(x_t|x_{t-1}) = N(x_t; sqrt(1-beta_t)*x_{t-1}, beta_t*I) adds Gaussian noise at each step. Reverse: learned p_theta(x_{t-1}|x_t) denoises step by step. The network predicts the noise epsilon_theta(x_t, t) and the loss is MSE between predicted and actual noise."
Can you explain what is full fine-tuning vs PEFT? Be concise and precise.,Full fine-tuning updates all model parameters — roughly 28 GB GPU memory for a 7B model at float16. PEFT (Parameter-Efficient Fine-Tuning) freezes most weights and trains a tiny subset. LoRA trains about 0.1-1% extra parameters achieving near full fine-tuning quality at a fraction of memory and compute cost.
Give a technical explanation of what is weight tying in language models?,"Weight tying shares the embedding matrix between the input token embedding layer and the output projection layer (lm_head). Since both map between token space and representation space, sharing weights reduces parameter count and often improves perplexity. Used in GPT-2 and many smaller LLMs."
Please explain what is hallucination in LLMs? Explain technically.,"Hallucination occurs when an LLM generates plausible-sounding but factually incorrect or unsupported content. Types: intrinsic (contradicts source), extrinsic (adds info not in source). Causes: spurious correlations, overconfidence, insufficient grounding. Mitigations: RAG, RLHF, self-consistency, factuality-focused fine-tuning."
Give a technical explanation of what is residual connection? Provide a detailed answer.,"A residual (skip) connection adds the input of a sublayer directly to its output: y = F(x) + x. This allows gradients to flow directly through the network, mitigating vanishing gradients. Used in every Transformer block around the attention and FFN sublayers. Key to training very deep networks."
"As an AI student, explain what is cosine learning rate scheduling? For a Generative AI course student.",Cosine scheduling decays the learning rate following a half-cosine curve: LR(t) = LR_min + 0.5*(LR_max - LR_min)*(1 + cos(pi*t/T)). Provides a smooth decay that is large early and small near the end. Widely used in GPT and LLaMA training.
I need help understanding when is the assignment submission deadline? For a Generative AI course student.,The combined deadline for Assignment 1 and Assignment 2 is 5th April 2026 at 9:00 PM IST. Demonstrations and Vivas are scheduled after submission.
I need help understanding when is the assignment submission deadline? Explain technically.,The combined deadline for Assignment 1 and Assignment 2 is 5th April 2026 at 9:00 PM IST. Demonstrations and Vivas are scheduled after submission.
I need help understanding compare VAEs and GANs.,"VAEs maximize a tractable ELBO, producing smoother latent spaces — easier to train and encode/decode. GANs use adversarial training, producing sharper samples. VAEs suffer from blurry reconstructions; GANs suffer from training instability and mode collapse. Both are widely used generative models."
"As an AI student, explain what is the difference between closed-book and open-book QA? Give examples where relevant.",Closed-book QA relies solely on model weights — the model answers from memory. Open-book QA provides documents or uses RAG to retrieve relevant passages — the model grounds answers in context. Open-book QA reduces hallucination and allows answering questions outside the training distribution.
"In simple terms, what is what is DPO? Be concise and precise.","DPO (Direct Preference Optimization, Rafailov et al., 2023) is an RL-free alternative to RLHF. It derives a closed-form optimal policy from the reward model, converting preference learning into a supervised classification objective on (preferred, rejected) pairs. Simpler and more stable than PPO-RLHF."
I need help understanding what is knowledge distillation? Give examples.,Knowledge distillation trains a smaller student model to mimic a larger teacher model. The student is trained on the teacher soft probability outputs (dark knowledge) rather than hard labels. DistilBERT is 40% smaller than BERT with 97% of its performance. Useful for deploying models on edge devices.
Please explain what is self-attention and how is it computed?,"Self-attention projects input X into Q=XW_Q, K=XW_K, V=XW_V. Attention(Q,K,V) = softmax(QK^T / sqrt(d_k)) V. Scaling by sqrt(d_k) prevents softmax saturation. Output is a weighted sum of values, with weights reflecting token-to-token relevance. Complexity is O(n^2 d)."
What is the difference between autoregressive and diffusion generation? Explain technically.,"Autoregressive models (GPT) generate token by token left to right — exact likelihood but sequential and slow for long sequences. Diffusion models denoise from Gaussian noise in T steps — parallel denoising for images, better quality but typically requires many steps. Diffusion-based text generation (e.g., MDLM) is an active research area."
What is a language model? Give examples.,"A language model assigns probabilities to sequences of tokens: P(w_1, w_2, ..., w_n). Modern neural language models are trained via next-token prediction: P(w_t | w_1, ..., w_{t-1}). They can generate text by sampling from the learned distribution. LLMs are very large language models trained on internet-scale data."
What is cosine learning rate scheduling? For a Generative AI course student.,Cosine scheduling decays the learning rate following a half-cosine curve: LR(t) = LR_min + 0.5*(LR_max - LR_min)*(1 + cos(pi*t/T)). Provides a smooth decay that is large early and small near the end. Widely used in GPT and LLaMA training.
I need help understanding what is quantization in LLMs? For a Generative AI course student.,"Quantization reduces model precision from float32 or float16 to int8, int4, or lower, shrinking memory footprint and speeding up inference. GPTQ uses post-training quantization with calibration data. bitsandbytes enables 4-bit NF4 QLoRA training. Quality loss is minimal at int8 and modest at int4."
Please explain what is prompt engineering? Explain technically.,"Prompt engineering designs input prompts to elicit desired LLM outputs. Techniques: zero-shot (direct instruction), few-shot (k demonstrations), chain-of-thought (step-by-step reasoning), system prompts (role/persona), structured output prompting (JSON schema), self-consistency (majority vote over multiple CoT paths)."
Can you explain what is prompt tuning?,"Prompt tuning (Lester et al., 2021) prepends a small number of trainable token embeddings to the input at the embedding layer. The rest of the model is frozen. Simpler than prefix tuning. Performance approaches full fine-tuning at large model scales (10B+ parameters)."
What is generative AI?,"Generative AI refers to models that learn data distributions and synthesize new content—text, images, audio, video, or code—that resembles the training data. Unlike discriminative models that predict labels, generative models explicitly learn P(x) or P(x|y). Examples include GPT-4 (text), DALL-E 3 (images), MusicLM (audio), and AlphaCode (code)."
"For a university exam, explain what is the ELBO? Explain with clear definitions.","ELBO = Evidence Lower BOund = E_q[log p(x|z)] - KL(q(z|x)||p(z)). Maximizing the ELBO simultaneously maximizes reconstruction quality and keeps the approximate posterior q(z|x) close to the prior N(0,I). The ELBO lower-bounds log p(x), so maximizing it indirectly maximizes marginal likelihood."
Define the following: walk through LoRA fine-tuning step by step.,"1. Load pretrained model with 4-bit quantization (QLoRA). 2. Define LoraConfig with r=16, alpha=32, targeting q, k, v, o projections. 3. Wrap model with get_peft_model — freezes base weights, adds LoRA matrices. 4. Tokenize dataset in chat format. 5. Train with SFTTrainer — only LoRA params (~0.4%) update. 6. Save the adapter (~50 MB vs 2 GB full model). 7. Merge or load adapter at inference."
What is beta-VAE?,"Beta-VAE adds a weight beta > 1 to the KL term: ELBO = reconstruction - beta * KL. Higher beta encourages a more disentangled, information-sparse latent space at the cost of reconstruction quality. It was introduced by Higgins et al. to learn interpretable latent factors."
Please describe what is hallucination in LLMs? Explain with clear definitions.,"Hallucination occurs when an LLM generates plausible-sounding but factually incorrect or unsupported content. Types: intrinsic (contradicts source), extrinsic (adds info not in source). Causes: spurious correlations, overconfidence, insufficient grounding. Mitigations: RAG, RLHF, self-consistency, factuality-focused fine-tuning."
"In simple terms, what is what tools and platforms are used in the course labs? Give examples where relevant.","Platform: Google Colab (free T4 GPU). Frameworks: HuggingFace Transformers, PEFT, TRL, Datasets. LLM access: Groq API and Ollama. Vector databases: ChromaDB and FAISS. Embeddings: sentence-transformers. Optional: Weights and Biases for experiment tracking."
Please describe compare LoRA and full fine-tuning. Explain with clear definitions.,Full fine-tuning updates all parameters needing roughly 28 GB GPU for a 7B model. LoRA adds about 0.1-0.4% extra params needing roughly 6 GB. Quality is comparable for most tasks. LoRA adapters are modular and swappable — multiple tasks can share one base model. LoRA also avoids catastrophic forgetting because base weights are frozen.
"In simple terms, what is what is QLoRA? For a Generative AI course student.","QLoRA (Dettmers et al., 2023) combines 4-bit NF4 (NormalFloat4) quantization of the frozen base model with LoRA adapters trained in bfloat16. Double quantization further compresses quantization constants. With paged optimizers, a 7B model can be fine-tuned on a single 16 GB T4 GPU. Quality is close to 16-bit LoRA."
I need help understanding what are chunking strategies for RAG?,"Strategies: (1) Fixed-size with overlap (e.g., 512 tokens, 50-token overlap) — simple but may split sentences; (2) Recursive character splitting — splits at paragraphs, then sentences, then words; (3) Semantic chunking — splits when embedding similarity drops; (4) Document-structure-aware — splits at headers/sections. Overlap prevents context loss at chunk boundaries."
What is Byte-Pair Encoding? Provide a detailed answer.,"BPE starts with a character vocabulary and iteratively merges the most frequent adjacent pair of tokens into a new token, building a vocabulary of subword units. The process repeats until the vocabulary reaches a target size. GPT and GPT-2 use BPE. BPE handles rare words by splitting them into familiar subwords."
What is the GAN training objective? Explain technically.,"min_G max_D E[log D(x)] + E[log(1 - D(G(z)))]. D maximizes log-probabilities for real data and log(1-p) for fakes. G minimizes log(1 - D(G(z))), or equivalently maximizes log D(G(z)) in the non-saturating version to avoid vanishing gradients early in training."
I need help understanding what is gradient accumulation?,"Gradient accumulation computes gradients over multiple mini-batches before updating weights, simulating a larger effective batch size without extra memory. Effective batch = per_device_batch * gradient_accumulation_steps * num_GPUs. Essential when GPU memory limits per-device batch size."
What is re-ranking in RAG? For a Generative AI course student.,Re-ranking improves retrieval quality by applying a cross-encoder to re-score the top-k candidates from the bi-encoder. Cross-encoders jointly process query and document and are more accurate but slower. Applied after initial retrieval to improve precision before passing context to the LLM.
What is the TRL library? Include relevant equations or pseudocode if helpful.,"TRL (Transformer Reinforcement Learning) is a HuggingFace library for LLM alignment. Key classes: SFTTrainer (supervised fine-tuning), RewardTrainer, PPOTrainer, DPOTrainer. Integrates with PEFT for memory-efficient training."
Please describe what is BERTScore?,"BERTScore computes semantic similarity between generated and reference text using contextual BERT embeddings. For each token in the generated text it finds the most similar token in the reference via cosine similarity. Aggregates into Precision, Recall, and F1. More sensitive to paraphrasing than BLEU or ROUGE."
Define the following: what is LangChain? For a Generative AI course student.,"LangChain is a framework for building LLM applications. Core abstractions: Chains (sequential LLM calls), Agents (LLM selects tools), Memory (conversation history), Tools (external APIs), Vector stores (for RAG). Supports OpenAI, Anthropic, Groq, Ollama, and HuggingFace backends."
"For a university exam, explain what is a vector database?","A vector database stores embeddings and supports approximate nearest-neighbor search. Options: ChromaDB (easy Python API, local persistence), FAISS (C++ optimized, billion-scale, IVF/HNSW), Pinecone (managed cloud), Qdrant (Rust, production-grade with payload filters), Weaviate (GraphQL interface)."
"For a university exam, explain what is cross-attention?","Cross-attention allows the decoder to attend over encoder representations. Q comes from the decoder, K and V come from the encoder. This enables the decoder to look up relevant parts of the encoded input, fundamental in seq2seq tasks like translation."
Please describe compare LoRA and full fine-tuning. Explain technically.,Full fine-tuning updates all parameters needing roughly 28 GB GPU for a 7B model. LoRA adds about 0.1-0.4% extra params needing roughly 6 GB. Quality is comparable for most tasks. LoRA adapters are modular and swappable — multiple tasks can share one base model. LoRA also avoids catastrophic forgetting because base weights are frozen.
"In simple terms, what is explain the RAG pipeline step by step.","1. Ingestion: load and clean documents. 2. Chunking: split into overlapping chunks (e.g., 512 tokens, 50 overlap). 3. Embedding: encode chunks with a sentence-transformer model. 4. Storage: index in ChromaDB or FAISS. 5. Retrieval: embed the query, find top-k similar chunks via ANN. 6. Augmentation: inject retrieved chunks into the LLM prompt. 7. Generation: LLM produces a grounded answer."
"As an AI student, explain what are the main families of generative models? Explain technically.","The four main families are: (1) GANs — adversarial generator-discriminator training; (2) VAEs — encoder-decoder with a probabilistic latent space; (3) Diffusion models — iterative denoising from Gaussian noise; (4) Autoregressive models — predict the next token given previous tokens (e.g., GPT)."
"In simple terms, what is what is the AdamW optimizer? Explain technically.","AdamW (Loshchilov & Hutter, 2019) decouples weight decay from the adaptive gradient update. Standard Adam applies weight decay through the gradient (L2 regularization), conflating it with adaptive scaling. AdamW applies weight decay directly to weights, making regularization more effective. Standard choice for LLM training."
"As an AI student, explain what is the PEFT library?","PEFT by HuggingFace simplifies applying LoRA, prefix tuning, prompt tuning, and IA3 to any HuggingFace model. Key functions: LoraConfig, get_peft_model (wraps model and freezes base), PeftModel.from_pretrained (loads adapter). Integrates with Trainer and SFTTrainer."
Give a technical explanation of what is residual connection? Explain with definitions.,"A residual (skip) connection adds the input of a sublayer directly to its output: y = F(x) + x. This allows gradients to flow directly through the network, mitigating vanishing gradients. Used in every Transformer block around the attention and FFN sublayers. Key to training very deep networks."
Can you explain what is a Wasserstein GAN? Be concise and precise.,WGAN replaces the JS divergence with Earth Mover (Wasserstein-1) distance. The discriminator (now called critic) outputs an unbounded score. Training requires weight clipping or a gradient penalty (WGAN-GP) to enforce the Lipschitz constraint. WGAN provides a meaningful loss metric correlated with sample quality.
Briefly describe what is prompt tuning? Explain technically.,"Prompt tuning (Lester et al., 2021) prepends a small number of trainable token embeddings to the input at the embedding layer. The rest of the model is frozen. Simpler than prefix tuning. Performance approaches full fine-tuning at large model scales (10B+ parameters)."
"For a university exam, explain what tools and platforms are used in the course labs? For a Generative AI course student.","Platform: Google Colab (free T4 GPU). Frameworks: HuggingFace Transformers, PEFT, TRL, Datasets. LLM access: Groq API and Ollama. Vector databases: ChromaDB and FAISS. Embeddings: sentence-transformers. Optional: Weights and Biases for experiment tracking."
Give a technical explanation of what is PEFT prefix tuning?,"Prefix tuning (Li & Liang, 2021) prepends a sequence of trainable continuous vectors (the prefix) to the key and value matrices at every Transformer layer. Only the prefix parameters are trained; base model is frozen. More expressive than prompt tuning but with more parameters."
Define the following: what topics are covered in the Generative AI and LLMs course? For a Generative AI course student.,"Topics: Generative models (VAE, GAN, Diffusion), Transformer architecture, LLM pretraining, Prompt engineering, Fine-tuning methods (LoRA, QLoRA, RLHF, DPO), RAG systems, Vector databases, Evaluation metrics, and practical deployment on Colab."
Please describe explain the Transformer architecture. Provide a detailed answer.,"A Transformer (Vaswani et al., 2017) replaces recurrence with attention. Components: token embedding + positional encoding, stacked encoder or decoder blocks each containing multi-head self-attention and a position-wise FFN with residual connections and LayerNorm. Encoder reads full context; decoder adds masked self-attention and cross-attention over encoder output."
Give a technical explanation of what is Ollama? For a Generative AI course student.,"Ollama is a tool for running LLMs locally on consumer hardware. Supports quantized GGUF versions of LLaMA-3, Mistral, Gemma, and Phi models. Provides an OpenAI-compatible API. Useful for privacy-sensitive or offline use cases."
Define the following: what is the difference between BERT and GPT? Explain with clear definitions.,"BERT is encoder-only with bidirectional masked language modeling — reads the full sequence, best for understanding tasks (classification, NER, QA extraction). GPT is decoder-only with causal language modeling — generates tokens left to right, best for text generation and in-context learning."
What is meant by what is the TRL library?,"TRL (Transformer Reinforcement Learning) is a HuggingFace library for LLM alignment. Key classes: SFTTrainer (supervised fine-tuning), RewardTrainer, PPOTrainer, DPOTrainer. Integrates with PEFT for memory-efficient training."
Give a technical explanation of compare ChromaDB and FAISS. Explain with clear definitions.,"ChromaDB is a full-featured vector DB with persistence, metadata filtering, and an easy Python API — best for prototyping and small-to-medium scale. FAISS is a C++ library optimized for billion-scale ANN with IVF and HNSW indexes — faster but lacks built-in persistence and metadata filtering."
What is learning rate warm-up?,Learning rate warm-up gradually increases the LR from near-zero to the target LR over the first few steps. Prevents instability early in training. Common schedules: linear warm-up followed by cosine decay. Warmup of 5-10% of total steps is standard for LLM fine-tuning.
What is flash attention? Include relevant equations or pseudocode if helpful.,"FlashAttention (Dao et al., 2022) is an IO-aware exact attention algorithm that tiles Q, K, V to avoid materializing the full N by N attention matrix in HBM. Reduces memory from O(N^2) to O(N) and is 2-4x faster due to reduced memory bandwidth. FlashAttention-2 further optimizes parallelism."
What is meant by what is prompt tuning? Give examples.,"Prompt tuning (Lester et al., 2021) prepends a small number of trainable token embeddings to the input at the embedding layer. The rest of the model is frozen. Simpler than prefix tuning. Performance approaches full fine-tuning at large model scales (10B+ parameters)."
Please explain what is in-context learning? Include relevant equations or pseudocode if helpful.,In-context learning (ICL) is the ability of LLMs to perform new tasks from examples given in the prompt without weight updates. The model learns from the context at inference time. Performance scales with model size. Understanding of why ICL works is an active research area — hypotheses include implicit gradient descent and Bayesian inference.
When is the assignment submission deadline? Explain technically.,The combined deadline for Assignment 1 and Assignment 2 is 5th April 2026 at 9:00 PM IST. Demonstrations and Vivas are scheduled after submission.
What is PEFT prefix tuning? Give examples.,"Prefix tuning (Li & Liang, 2021) prepends a sequence of trainable continuous vectors (the prefix) to the key and value matrices at every Transformer layer. Only the prefix parameters are trained; base model is frozen. More expressive than prompt tuning but with more parameters."
"For an AI course student, what is what is the difference between GPT-2 and GPT-3? For a GenAI student.",GPT-2 has 1.5B parameters and was pretrained on WebText (~40 GB). GPT-3 scaled to 175B parameters on 300B tokens from Common Crawl and other sources. GPT-3 demonstrated few-shot in-context learning as an emergent capability absent in GPT-2. Scale bridged the gap from a text completer to a general-purpose assistant.
Please explain explain the RAG pipeline step by step.,"1. Ingestion: load and clean documents. 2. Chunking: split into overlapping chunks (e.g., 512 tokens, 50 overlap). 3. Embedding: encode chunks with a sentence-transformer model. 4. Storage: index in ChromaDB or FAISS. 5. Retrieval: embed the query, find top-k similar chunks via ANN. 6. Augmentation: inject retrieved chunks into the LLM prompt. 7. Generation: LLM produces a grounded answer."
Please describe explain the Transformer architecture. For a Generative AI course student.,"A Transformer (Vaswani et al., 2017) replaces recurrence with attention. Components: token embedding + positional encoding, stacked encoder or decoder blocks each containing multi-head self-attention and a position-wise FFN with residual connections and LayerNorm. Encoder reads full context; decoder adds masked self-attention and cross-attention over encoder output."
I need help understanding what is a Large Language Model?,"An LLM is a transformer-based language model with billions of parameters trained on massive text corpora via next-token prediction. Scale enables emergent capabilities: in-context learning, chain-of-thought reasoning, instruction following. Examples: GPT-4 (OpenAI), LLaMA-3 (Meta), Mistral, Gemma (Google), Claude (Anthropic)."
What is meant by what is the difference between BERT and GPT?,"BERT is encoder-only with bidirectional masked language modeling — reads the full sequence, best for understanding tasks (classification, NER, QA extraction). GPT is decoder-only with causal language modeling — generates tokens left to right, best for text generation and in-context learning."
Can you explain what is LoRA?,"LoRA (Hu et al., 2021) injects trainable low-rank matrices into frozen weight matrices. For W in R^(d x k), LoRA adds delta_W = BA where B is R^(d x r), A is R^(r x k), r much less than min(d,k). The forward pass computes h = Wx + BAx. Only A and B are trained. r=16 with alpha=32 is a common choice."
I need help understanding walk through LoRA fine-tuning step by step. Provide a detailed answer.,"1. Load pretrained model with 4-bit quantization (QLoRA). 2. Define LoraConfig with r=16, alpha=32, targeting q, k, v, o projections. 3. Wrap model with get_peft_model — freezes base weights, adds LoRA matrices. 4. Tokenize dataset in chat format. 5. Train with SFTTrainer — only LoRA params (~0.4%) update. 6. Save the adapter (~50 MB vs 2 GB full model). 7. Merge or load adapter at inference."
What is the difference between pretraining and fine-tuning? Provide a detailed answer.,"Pretraining learns general representations from massive unlabeled corpora via self-supervised objectives (next-token prediction, masked LM). Fine-tuning adapts the pretrained model to a specific task on a smaller labeled dataset, updating all or a subset of weights. Fine-tuning is much cheaper than pretraining from scratch."
Define the following: what is the difference between RAG and fine-tuning? Explain technically.,"RAG retrieves external knowledge at inference without changing weights — ideal for frequently updated facts, private documents, and reducing hallucination. Fine-tuning updates weights on domain data — ideal for style, format, and behavioral changes. RAG has higher inference latency; fine-tuning has higher training cost. They are complementary: fine-tune for format, use RAG for facts."
Briefly describe what is the softmax function?,"Softmax converts a vector of real numbers into a probability distribution: softmax(z_i) = exp(z_i) / sum_j(exp(z_j)). It ensures all outputs are positive and sum to 1. Used in classification heads, attention score normalization, and the final token prediction layer of LLMs."
"As an AI student, explain what is BERTScore? For a Generative AI course student.","BERTScore computes semantic similarity between generated and reference text using contextual BERT embeddings. For each token in the generated text it finds the most similar token in the reference via cosine similarity. Aggregates into Precision, Recall, and F1. More sensitive to paraphrasing than BLEU or ROUGE."
Briefly describe what is ReAct prompting? Give examples where relevant.,"ReAct (Yao et al., 2022) interleaves Thought (reasoning step), Action (tool call: search or calculator), and Observation (tool result) cycles. The LLM decides what to do, calls a tool, observes the result, and iterates. Grounding reasoning in tool outputs reduces hallucinations. ReAct is the foundation of LLM agent loops."
"In simple terms, what is what is the difference between BERT and GPT? Explain with clear definitions.","BERT is encoder-only with bidirectional masked language modeling — reads the full sequence, powerful for understanding. GPT is decoder-only with causal language modeling — generates tokens left to right, powerful for generation and in-context learning. BERT has no generation capability; GPT can also do understanding via prompting."
What is meant by what is Layer Normalization? Provide a detailed answer.,"LayerNorm normalizes activations across the feature dimension for each token independently: y = (x - mean) / (std + eps) * gamma + beta. Unlike BatchNorm, it does not depend on batch size, making it suitable for variable-length sequences. Pre-LN (applied before attention) is more stable than post-LN."
What is the difference between closed-book and open-book QA?,Closed-book QA relies solely on model weights — the model answers from memory. Open-book QA provides documents or uses RAG to retrieve relevant passages — the model grounds answers in context. Open-book QA reduces hallucination and allows answering questions outside the training distribution.
I need help understanding what is in-context learning?,In-context learning (ICL) is the ability of LLMs to perform new tasks from examples given in the prompt without weight updates. The model learns from the context at inference time. Performance scales with model size. Understanding of why ICL works is an active research area — hypotheses include implicit gradient descent and Bayesian inference.
Please describe what is the difference between dense and sparse retrieval? Explain with clear definitions.,"Sparse retrieval (BM25, TF-IDF) uses keyword matching with inverted indexes — fast and interpretable. Dense retrieval uses neural embeddings and ANN search — captures semantic similarity and handles paraphrasing. Hybrid RAG combines both using reciprocal rank fusion for best recall."
Give a technical explanation of what is the difference between GPT-2 and GPT-3? Be concise.,GPT-2 has 1.5B parameters and was pretrained on WebText (~40 GB). GPT-3 scaled to 175B parameters on 300B tokens from Common Crawl and other sources. GPT-3 demonstrated few-shot in-context learning as an emergent capability absent in GPT-2. Scale bridged the gap from a text completer to a general-purpose assistant.
Briefly describe what is QLoRA? Explain technically.,"QLoRA (Dettmers et al., 2023) combines 4-bit NF4 (NormalFloat4) quantization of the frozen base model with LoRA adapters trained in bfloat16. Double quantization further compresses quantization constants. With paged optimizers, a 7B model can be fine-tuned on a single 16 GB T4 GPU. Quality is close to 16-bit LoRA."
Briefly describe what is cosine learning rate scheduling?,Cosine scheduling decays the learning rate following a half-cosine curve: LR(t) = LR_min + 0.5*(LR_max - LR_min)*(1 + cos(pi*t/T)). Provides a smooth decay that is large early and small near the end. Widely used in GPT and LLaMA training.
I need help understanding what is multi-head attention?,"Multi-head attention runs h attention heads in parallel, each with independent W_Q, W_K, W_V projections of dimension d_k = d_model/h. Outputs are concatenated then linearly projected: MultiHead(Q,K,V) = Concat(head_1,...,head_h)W_O. Different heads can attend to different positional and semantic patterns."
